gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysAnxious,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Male,0 - 10k,170 - 175,Yes,They are separate,Rarely,"Yes, I have friends",At least once a month,Never,No,1,1,0,-2,0,0,1,1,-2,-2,-1,1,-1,1,1,0,-2,1,2,-1,-2,0,1,0,2,1,1,-2,0,1,0,-2,-20.5916
Male,120k - 150k,165 - 170,Yes,They conflict,Rarely,"Yes, I have both",More than three times a week,Always,Yes,-2,-2,1,1,0,1,2,0,0,1,-2,1,2,-2,2,1,-2,0,0,1,0,1,1,2,0,0,-2,-2,0,-1,0,0,-5.32572
Female,15k - 20k,160 - 165,Yes,They conflict,Rarely,"Yes, I have family",At least once a month,Sometimes,Yes,1,-2,1,-2,0,1,0,0,1,0,-2,0,-1,-2,-1,1,-2,1,-1,-2,0,-1,1,2,0,-1,-2,-2,-2,0,0,-2,1.72755
Male,20k - 50k,170 - 175,Yes,They complement each other,Always,"Yes, I have both",At least once a month,Always,Yes,-1,-2,1,-1,0,0,0,-1,1,1,-1,1,0,0,0,-1,0,2,1,-2,1,-1,1,0,0,-1,1,1,-1,1,0,1,7.10222
Female,0 - 10k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,-2,0,2,2,0,1,-2,-1,1,1,-2,0,0,0,1,1,0,1,1,1,1,-1,2,2,1,1,0,1,-1,1,-1,-2,-6.33507
Male,80k - 120k,160 - 165,Yes,They complement each other,Never,No,At least once a month,Never,No,0,0,2,2,-2,0,1,0,2,1,-1,-2,1,1,2,1,1,1,0,-1,-2,-1,1,2,2,2,0,0,-2,0,0,-2,15.1318
Male,10k - 15k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,-1,-1,-2,0,2,1,-1,-2,-2,1,0,1,0,2,2,-2,1,2,2,1,1,0,1,2,0,0,0,1,1,1,1,0,-3.8297
Female,0 - 10k,160 - 165,Yes,They are separate,Always,"Yes, I have both",At least once a week,Sometimes,No,1,1,1,-1,-1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-12.3875
Male,0 - 10k,160 - 165,Yes,They are separate,Rarely,"Yes, I have family",More than three times a week,Never,Yes,-1,-1,1,1,-2,0,-2,-1,1,1,-1,0,1,0,0,-1,0,2,1,1,0,-2,2,1,-2,0,-2,1,1,0,1,1,-6.21064
Male,10k - 15k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Rarely,Yes,1,0,0,2,2,0,0,1,2,2,1,0,1,0,0,2,1,1,2,1,2,-2,1,1,1,1,2,1,-1,1,1,-2,7.15831
Female,20k - 50k,160 - 165,Yes,They complement each other,Never,"Yes, I have family",More than three times a week,Sometimes,No,-2,-2,1,1,1,0,0,-2,1,0,1,2,-1,2,0,-2,1,1,1,1,0,-1,0,0,2,-2,1,2,-2,1,1,-1,24.0586
Female,15k - 20k,150 - 155,Yes,They conflict,Rarely,"Yes, I have family",More than three times a week,Always,Yes,-2,-1,1,0,-2,0,0,-2,1,2,-1,0,1,0,1,-2,1,0,1,0,0,0,0,-2,1,-2,-2,0,0,0,1,-2,1.59857
Male,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Always,Yes,2,0,0,0,2,2,2,-2,1,1,0,1,-1,1,-2,-2,-2,2,0,0,0,-1,1,1,1,-2,1,1,-1,2,1,-2,-9.23341
Male,50k - 80k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have family",Rarely,Rarely,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.69569
Male,10k - 15k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",No,Rarely,Yes,1,0,2,1,0,0,0,0,-2,1,0,1,2,1,-2,-2,-1,1,0,0,1,-2,0,0,-2,2,-2,1,0,0,0,0,-6.87652
Female,150k - 200k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have friends",At least once a week,Sometimes,Yes,-1,-1,2,1,0,0,0,-1,0,0,-1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,1,1,0,0,1,0,0,2,-3.34255
Male,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",No,Never,Yes,1,1,1,0,0,-2,0,2,1,0,0,-2,1,0,1,0,-2,1,1,0,0,-1,1,0,0,1,0,0,1,0,1,0,-31.0033
Other,120k - 150k,170 - 175,Yes,They conflict,Always,"Yes, I have both",At least once a week,Always,Yes,-1,-2,1,2,2,2,-2,-1,-2,1,0,0,-1,-2,2,-1,0,2,1,-2,1,-1,0,2,-1,-2,2,2,-1,0,-2,-1,2.07265
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have friends",Rarely,Sometimes,Yes,-2,0,2,-2,0,1,-1,-1,0,0,1,0,-1,-2,0,0,0,0,0,-2,2,-2,1,2,-2,-1,1,-2,-2,1,0,-1,-16.2268
Female,120k - 150k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",No,Always,Yes,-1,-2,2,-1,0,1,1,0,1,0,0,0,1,0,1,-1,-2,0,0,0,0,0,1,1,-2,1,1,-2,-1,1,-2,-1,-1.17088
Male,80k - 120k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",Rarely,Always,Yes,0,1,0,1,0,2,1,0,1,0,0,1,-2,0,0,2,-2,1,1,-2,-2,-2,0,1,0,-2,0,-2,1,1,1,-2,5.95559
Male,0 - 10k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Sometimes,Yes,1,1,1,-1,1,1,1,1,2,0,-1,0,-1,1,1,-1,0,0,0,0,-1,1,1,1,0,0,1,1,-1,1,1,-2,-10.7991
Male,80k - 120k,185 - 190,Yes,They conflict,Never,"Yes, I have both",Rarely,Always,No,-2,-2,2,-2,-1,0,1,0,0,1,-1,-2,1,-2,-2,0,-2,1,0,2,1,-1,-2,-2,0,1,1,2,1,1,0,0,33.9774
Female,120k - 150k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have family",No,Never,Yes,-2,-2,2,-1,0,1,1,-2,2,-1,-2,-1,-1,1,1,-2,1,1,-2,-2,-2,-1,1,1,0,-1,2,1,-1,2,0,-2,-7.23906
Male,15k - 20k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have family",No,Sometimes,Yes,-2,-2,1,2,-2,-2,1,-2,0,0,-2,1,-1,0,1,2,0,1,0,1,1,-1,1,1,1,1,0,-2,-2,-2,0,2,1.66489
Male,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Sometimes,Yes,-1,-2,1,2,-1,1,-2,-1,2,1,-1,0,-1,1,-2,-2,1,1,0,0,0,-2,2,1,-2,0,-2,-2,-2,1,-2,1,-17.013
Female,0 - 10k,155 - 160,Yes,They conflict,Rarely,"Yes, I have both",More than three times a week,Never,No,1,1,0,-2,-2,-2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,-2,-2,-2,1,0,1,-1,0,0,0,0,-2,-26.3814
Male,200k above,155 - 160,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Rarely,Yes,0,0,0,-1,1,-2,1,0,-2,-2,2,0,0,1,0,-2,0,0,1,1,0,1,1,1,1,0,0,-2,0,0,1,-2,7.35771
Male,200k above,155 - 160,Yes,They conflict,Always,"Yes, I have both",At least once a month,Never,Yes,-2,-2,1,1,2,1,0,-2,1,2,-1,1,1,1,1,-1,1,2,1,-2,0,-2,1,2,1,-2,0,0,-1,1,0,-2,6.42488
Male,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,No,At least once a week,Sometimes,No,0,1,-2,-2,0,0,0,-2,0,-2,-1,2,-1,0,-1,1,-2,0,1,0,0,-2,-2,0,0,1,0,0,1,0,1,1,-20.2514
Female,15k - 20k,175 - 180,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Never,Yes,-2,0,2,2,-2,0,1,-1,2,2,0,-1,-1,0,1,1,1,1,-2,-1,1,0,2,1,0,-2,1,1,-1,2,0,-1,0.266038
Male,0 - 10k,170 - 175,Yes,They are separate,Rarely,No,At least once a month,Always,Yes,-2,-1,0,-1,1,1,-2,-2,0,0,-2,0,2,1,0,-1,1,1,1,-2,1,-1,1,0,1,0,2,0,-2,2,2,-2,-0.705852
Male,10k - 15k,170 - 175,Yes,They are separate,Never,"Yes, I have family",No,Never,No,2,1,0,-2,-1,-1,-2,1,-1,1,0,-2,1,-2,-2,0,-1,1,1,1,0,0,-2,0,0,2,-2,-2,2,-2,0,2,-16.6166
Male,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Rarely,Yes,0,-2,1,-2,-2,0,0,0,0,1,1,0,0,0,-2,0,0,1,2,-2,0,-2,0,0,1,0,1,1,-2,1,1,-1,-5.30859
Other,120k - 150k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have family",No,Never,Yes,0,1,1,0,0,-2,-2,-2,-2,0,-1,-1,-2,0,1,0,0,2,1,0,-2,-2,0,1,-1,0,0,0,-2,0,0,0,-4.498
Male,0 - 10k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-1,-1,0,1,0,0,1,-1,1,1,-1,0,-1,1,1,0,0,1,0,0,0,-1,1,0,-1,0,0,0,0,0,-1,0,-1.41073
Female,15k - 20k,160 - 165,Yes,They conflict,Never,"Yes, I have both",At least once a month,Sometimes,Yes,-2,-2,1,2,0,0,1,0,1,2,0,1,-2,-2,1,-2,2,2,1,0,0,1,0,1,1,1,0,0,1,1,0,0,-4.31439
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Sometimes,No,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,0,0,-1,0,1,1,0,1,-1,1,0,0,1,0,-1,0,0,1,1,-5.48655
Male,15k - 20k,155 - 160,Yes,They are separate,Never,"Yes, I have both",At least once a week,Rarely,Yes,-2,-1,1,1,0,0,0,0,0,2,-1,-2,0,1,1,-1,1,2,1,-2,-2,1,-2,0,-2,-2,1,1,0,2,1,-2,11.6434
Male,0 - 10k,180 - 185,No,They complement each other,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,1,-1,0,1,0,0,-0.310245
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Always,Yes,1,1,2,-1,2,0,1,1,1,0,0,0,1,0,1,0,-1,0,0,0,0,0,1,1,1,1,1,0,-1,0,0,0,-12.9155
Male,15k - 20k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Always,Yes,-1,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0,1,1,0,1,1,-1,-1,-3.68805
Female,0 - 10k,140 - 150,Yes,They complement each other,Rarely,"Yes, I have both",No,Never,No,-1,-1,0,-1,-1,-2,-2,-1,0,0,-1,-2,0,1,0,-1,0,1,1,-1,0,-1,1,0,2,0,0,1,-2,0,1,-1,-15.2588
Male,0 - 10k,170 - 175,No,They conflict,Rarely,"Yes, I have both",At least once a month,Rarely,Yes,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,0,-1,-1,-10.874
Female,0 - 10k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Sometimes,No,-2,0,1,0,-2,1,1,-1,0,1,-1,1,-1,0,0,-2,1,1,1,-2,0,-2,0,1,0,0,0,2,-2,1,2,0,-16.902
Female,120k - 150k,140 - 150,Yes,They are separate,Rarely,"Yes, I have family",At least once a month,Always,Yes,-1,-2,1,0,2,0,0,-1,-2,1,-1,1,-2,2,0,-2,0,1,2,-1,2,-2,1,0,2,0,1,1,-1,1,1,-2,4.06675
Male,0 - 10k,170 - 175,Yes,They are separate,Always,"Yes, I have both",At least once a week,Sometimes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-1,-5.48955
Male,120k - 150k,185 - 190,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Always,Yes,-1,-2,2,-2,-2,1,-1,-1,0,0,-1,-2,-1,1,0,1,-1,1,1,-1,1,-1,2,2,1,-2,1,1,-1,0,1,-2,2.08777
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",No,Never,Yes,0,0,0,1,-2,-2,1,-2,0,-2,-1,2,-2,-2,1,0,-2,0,-2,0,0,0,1,0,-2,1,1,-1,-2,0,0,1,-14.6789
Female,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,Yes,-1,-2,1,-1,2,-2,-2,-1,0,1,-1,-2,1,0,0,0,-2,1,0,2,0,-2,2,1,0,1,-2,0,0,0,1,0,-30.6934
Female,10k - 15k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Rarely,Yes,0,1,1,-2,-2,-2,1,-2,0,1,-2,1,-2,0,-1,-2,-2,1,0,0,-2,-2,-2,-2,0,0,0,0,-2,0,-2,0,-9.05287
Female,15k - 20k,155 - 160,Yes,They are separate,Rarely,"Yes, I have friends",At least once a week,Sometimes,Yes,-2,-2,1,-2,0,0,-2,-2,0,1,0,-2,0,-2,0,0,0,0,0,1,0,2,1,1,0,0,-2,0,1,1,0,-2,7.35381
Female,200k above,160 - 165,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Always,Yes,-1,-1,1,0,0,2,0,-1,0,2,-2,1,-1,1,0,-1,0,1,2,1,1,0,1,2,1,-1,1,0,0,1,1,-2,13.4104
Male,120k - 150k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,0,0,1,-1,0,-1,2,0,0,0,-2,-2,-2,0,1,0,-2,1,-2,0,0,0,0,0,0,1,0,0,-2,0,-2,1,-15.2027
Male,200k above,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,1,-2,1,1,-2,2,0,-2,2,2,0,0,0,2,-2,0,-2,1,1,-1,1,0,2,1,0,-1,2,2,-1,2,2,-2,17.0616
Male,15k - 20k,160 - 165,Yes,They conflict,Always,"Yes, I have both",At least once a week,Never,Yes,-1,-1,1,1,0,2,-2,-1,1,0,-1,-2,-2,0,1,-2,1,2,0,-2,1,-1,1,1,1,-1,1,1,-2,2,2,-1,18.9522
Female,10k - 15k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have friends",At least once a month,Sometimes,Yes,-1,-1,1,0,0,0,0,-1,1,1,0,-1,0,0,0,-1,1,1,1,0,0,0,0,0,0,-2,0,-1,0,1,0,-1,-2.48409
Male,0 - 10k,165 - 170,Yes,They are separate,Rarely,"Yes, I have both",No,Rarely,Yes,-2,0,0,0,0,-1,-1,-2,0,0,-1,1,-2,-2,2,0,0,0,1,1,1,-2,1,1,0,0,0,1,-1,0,-2,0,-21.6309
Male,120k - 150k,170 - 175,Yes,They conflict,Never,"Yes, I have both",More than three times a week,Always,Yes,-2,-1,1,1,-2,1,2,-1,0,2,-1,1,-2,0,1,-2,-1,1,1,-1,0,-1,1,-2,0,-1,1,1,-1,1,-2,0,14.2186
Female,10k - 15k,140 - 150,Yes,They conflict,Sometimes,"Yes, I have both",Rarely,Always,No,0,-2,-2,-1,-2,0,0,-1,0,1,0,-2,0,1,0,-1,0,0,-2,0,-1,0,-2,-2,-2,0,1,-2,0,0,1,1,-14.4121
Female,150k - 200k,180 - 185,Yes,They conflict,Never,"Yes, I have both",Rarely,Rarely,Yes,1,0,1,1,-1,1,-2,1,1,1,0,1,-1,0,0,1,1,1,1,-2,0,-2,0,1,0,-1,0,0,0,2,1,1,5.74325
Female,0 - 10k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,1,1,0,0,0,0,-1,0,1,1,0,1,-1,1,1,0,0,1,1,1,1,-1,1,1,1,1,0,-1,-1,0,1,0,-13.2523
Male,0 - 10k,180 - 185,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Never,Yes,-2,0,1,2,-2,1,1,-2,1,1,-2,-2,-1,0,0,0,0,1,-2,0,-2,-2,1,0,0,0,-2,0,0,1,-2,1,0.430567
Female,0 - 10k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Rarely,Yes,-1,-1,1,-2,0,1,0,-1,1,0,0,-2,-2,2,2,-2,1,0,1,-1,2,-2,2,1,0,-2,2,1,-1,1,-2,-1,-13.0665
Female,120k - 150k,165 - 170,Yes,They are separate,Always,"Yes, I have family",More than three times a week,Always,Yes,-2,1,2,0,0,1,1,-1,-1,0,-2,-1,-2,-2,1,1,-2,0,-1,-1,-2,-1,-2,0,0,-2,0,1,-2,0,-2,-1,-5.05016
Male,150k - 200k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Always,Yes,-2,-2,1,-2,0,1,-2,-2,0,0,0,0,1,-2,-2,1,1,2,0,0,1,-1,-2,1,-2,0,2,0,-1,1,-2,0,9.74698
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Always,No,1,-2,0,0,-1,0,0,-1,-1,0,0,1,1,2,-2,-2,-2,1,0,0,-1,-1,0,0,0,1,0,1,1,0,1,1,-8.01727
Male,120k - 150k,180 - 185,Yes,They are separate,Never,"Yes, I have both",More than three times a week,Sometimes,Yes,1,2,1,-1,-2,0,0,1,1,1,-2,-1,1,0,-1,0,-1,0,0,-2,-2,0,-1,-1,-2,2,0,0,1,1,0,-2,-7.40662
Male,120k - 150k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-2,-1,-2,1,0,2,0,-1,1,1,-2,-2,-1,1,1,-1,1,2,1,0,1,-2,1,1,-2,0,2,-2,-2,2,1,1,10.5027
Male,80k - 120k,180 - 185,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Always,Yes,1,0,2,1,-2,1,0,-1,1,1,1,0,-1,2,0,1,0,1,-2,0,1,-1,1,0,0,0,0,0,-2,2,1,0,21.0908
Male,150k - 200k,175 - 180,Yes,They are separate,Never,"Yes, I have both",At least once a week,Rarely,Yes,-1,-2,1,0,1,1,-2,-1,1,0,-2,0,-2,0,0,-2,2,2,0,-2,1,-2,0,1,0,0,2,0,-1,2,0,-1,8.23605
Female,150k - 200k,170 - 175,Yes,They are separate,Never,"Yes, I have family",More than three times a week,Sometimes,Yes,-1,-1,1,2,0,1,-2,-2,1,1,0,0,0,1,-2,0,2,1,2,0,2,-1,0,0,1,-2,0,0,-2,2,0,-1,12.4711
Male,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Never,Yes,0,-2,-2,0,1,1,-1,-2,0,1,0,-2,0,2,-1,-2,0,1,1,0,0,-1,0,0,1,0,0,1,-2,0,2,-1,-10.0849
Male,10k - 15k,165 - 170,Yes,They are separate,Never,"Yes, I have both",More than three times a week,Sometimes,Yes,0,1,1,0,0,-2,2,0,0,2,-2,0,-2,0,-1,0,0,1,0,-2,0,0,-2,0,0,2,0,1,0,0,0,0,-9.17942
Female,200k above,150 - 155,Yes,They complement each other,Rarely,"Yes, I have family",No,Sometimes,Yes,-1,-1,0,-2,0,-2,-2,-1,1,-2,0,-2,-2,0,0,-1,1,1,0,-1,-2,0,2,1,1,-1,0,-2,-1,1,2,-1,14.3998
Female,0 - 10k,140 - 150,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Sometimes,Yes,-1,-1,1,-1,-2,1,-1,-1,1,0,-2,0,0,0,1,-1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,-4.78044
Male,120k - 150k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,-1,-1,1,0,1,-2,-1,-1,-2,-2,-1,0,0,0,-2,-2,-2,2,0,0,0,0,0,1,0,-2,-2,-2,0,1,-2,-2,-1.20127
Female,150k - 200k,155 - 160,Yes,They are separate,Rarely,"Yes, I have both",At least once a week,Sometimes,Yes,-2,-1,2,1,-2,0,1,-1,2,-2,-1,0,-1,0,0,-1,1,0,0,-1,-2,-2,1,0,1,0,0,0,-2,1,0,0,6.29495
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,1,1,1,2,-2,-2,-1,0,0,1,-2,0,-2,-2,1,1,0,0,0,-2,0,-2,0,0,0,2,0,0,1,0,0,-2,-35.6835
Male,50k - 80k,165 - 170,No,They conflict,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,1,0,1,0,-1,1,0,1,0,1,0,2,1,2,0,0,-2,1,1,1,-1,-1,0,1,0,0,-2,1,1,-1,2,-2,12.957
Male,150k - 200k,170 - 175,Yes,They complement each other,Sometimes,No,At least once a month,Never,Yes,0,0,0,0,-2,0,1,0,2,-2,-2,0,0,-2,2,0,0,1,0,-2,1,-1,2,1,-1,0,0,0,-2,-2,2,1,1.7493
Female,120k - 150k,165 - 170,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,0,1,1,-2,0,1,0,-2,2,1,-1,-2,-1,0,0,0,0,2,0,0,-2,-2,1,1,0,-2,1,0,-2,2,0,-1,2.47063
Male,10k - 15k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",Rarely,Sometimes,No,0,0,1,2,-2,1,0,-2,1,2,-1,-2,0,0,0,-1,1,1,2,2,-2,0,0,0,1,0,1,-2,1,1,2,-2,-5.48915
Male,0 - 10k,160 - 165,No,They complement each other,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,1,1,0,-2,0,-2,0,1,0,2,-2,0,1,0,0,-2,0,0,0,1,-1,-1,0,-2,-2,0,1,-2,1,0,2,1,-20.5855
Male,120k - 150k,175 - 180,Yes,They conflict,Rarely,"Yes, I have both",No,Always,No,0,1,2,-1,-2,-2,2,0,-1,0,1,0,-2,-2,1,2,-2,1,-2,2,0,-2,-2,-2,0,1,-2,0,0,-2,-2,1,-6.00913
Female,120k - 150k,160 - 165,Yes,They conflict,Sometimes,No,More than three times a week,Always,No,0,0,2,-2,1,-2,0,-1,0,0,0,0,-2,0,2,0,-2,1,1,0,1,-1,2,0,1,0,0,0,0,0,1,0,-4.75039
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Rarely,Yes,0,0,1,0,0,1,2,-1,1,2,1,2,1,1,1,-2,0,0,1,2,1,-1,1,0,1,1,2,1,-1,0,0,2,-5.54091
Female,200k above,150 - 155,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,2,-2,-2,-2,-1,-2,1,-2,-2,0,2,-2,0,0,-2,0,0,1,1,0,-1,1,-2,-1,1,0,1,0,-2,1,0,1,0.810463
Other,0 - 10k,175 - 180,Yes,They complement each other,Always,"Yes, I have both",Rarely,Never,Yes,0,2,0,0,1,-2,0,2,-2,0,-2,1,0,-1,1,-2,-2,1,0,-1,-2,0,-2,0,0,0,0,1,-1,-2,0,-2,-20.4785
Male,80k - 120k,160 - 165,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Rarely,Yes,-1,-1,1,2,1,0,1,-2,1,2,-1,0,0,0,-2,0,0,2,-2,-2,0,0,0,1,0,-2,1,2,-2,1,0,-1,40.5404
Female,150k - 200k,160 - 165,Yes,They conflict,Rarely,"Yes, I have both",Rarely,Rarely,Yes,-2,-2,0,0,-2,0,-2,0,1,1,0,0,1,-1,0,0,1,0,0,0,-2,1,0,1,-1,-2,0,0,1,1,0,1,-0.271924
Female,20k - 50k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,0,-1,0,0,1,0,-2,-2,-2,1,-2,2,-2,0,0,-2,-2,0,0,2,0,-1,-2,0,0,1,0,0,-1,-2,1,0,17.31
Male,150k - 200k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Never,No,-2,-2,-2,-2,-1,-1,1,-2,-2,-1,-1,-2,0,-1,-2,-1,0,0,-1,2,-2,1,1,0,-1,1,-2,-2,0,0,-2,1,-4.38453
Male,120k - 150k,175 - 180,Yes,They are separate,Never,"Yes, I have both",At least once a week,Rarely,Yes,-2,-2,2,-2,2,1,-2,0,1,2,0,0,2,-2,1,-1,0,0,1,-1,0,1,0,1,1,-1,1,1,-2,2,0,-1,4.15996
Female,15k - 20k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Sometimes,Yes,0,0,0,0,0,-2,0,-1,0,0,-1,0,0,0,-2,-2,-2,1,0,0,1,-1,0,0,1,-2,0,0,-1,1,0,-2,10.3349
Female,10k - 15k,160 - 165,Yes,They complement each other,Never,No,At least once a month,Never,Yes,-2,-2,1,1,0,2,-2,-2,2,2,1,1,-2,2,1,-1,2,1,2,-2,2,-2,1,0,2,-2,0,2,-2,2,2,0,7.05406
Female,80k - 120k,155 - 160,Yes,They conflict,Rarely,No,No,Never,No,-2,-2,0,-1,-2,-1,0,0,-2,1,0,-1,1,-1,0,-2,0,1,-2,0,0,0,0,0,-2,0,1,0,0,-2,0,-2,23.8958
Female,0 - 10k,160 - 165,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Never,Yes,-1,0,0,1,0,1,-2,-1,1,0,0,0,-2,-2,-2,1,0,2,-1,-1,1,-2,0,1,0,1,1,-2,0,1,0,0,-20.6935
Male,0 - 10k,165 - 170,Yes,They conflict,Rarely,"Yes, I have both",At least once a month,Never,Yes,0,0,2,0,1,1,0,-2,1,1,1,2,2,0,1,-2,-2,2,1,1,1,-1,1,1,1,1,2,2,-1,1,-2,-2,-15.9891
Female,10k - 15k,155 - 160,Yes,They conflict,Never,"Yes, I have family",At least once a month,Rarely,No,-1,-1,1,2,0,-2,-1,-1,1,2,-1,0,-2,1,1,-2,2,2,1,-1,1,-1,1,2,2,-1,1,2,-1,2,0,-1,1.97535
